"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00009313","03","02","01","2","","","","","","","","","","","06",166
"00009314","02","01","01","2","","","","","","","","","","","21",1468
"00009315","04","02","02","1","2","2","1","2","1","1","","2","2","2","27",567
"00009316","04","02","02","1","2","1","1","2","1","1","","1","1","2","18",368
"00009317","02","00","02","1","2","2","2","2","1","2","01","1","1","3","07",1755
"00009318","04","02","02","2","","","","","","","","","","","32",167
"00009319","04","02","02","1","2","2","2","2","1","2","07","1","2","1","32",406
"00009320","05","02","03","2","","","","","","","","","","","30",810
"00009321","04","02","02","2","","","","","","","","","","","23",495
"00009322","05","03","02","1","2","2","1","2","1","1","","1","1","1","28",1318
"00009323","02","01","01","2","","","","","","","","","","","23",982
"00009324","01","00","01","1","2","2","1","1","1","2","02","2","2","1","18",943
"00009325","04","01","03","1","2","2","1","2","1","1","","1","1","2","08",2773
"00009326","05","01","04","1","2","2","2","2","1","1","","1","1","1","32",852
"00009327","10","05","05","1","2","2","2","2","1","1","","2","1","1","32",502
"00009328","05","02","03","1","1","1","1","2","1","1","","1","1","1","11",3000
"00009329","03","01","02","2","","","","","","","","","","","11",1101
"00009330","04","02","02","1","1","1","1","1","1","1","","2","2","3","22",875
"00009331","01","01","00","2","","","","","","","","","","","06",462
"00009332","03","02","01","1","2","1","2","2","1","1","","1","1","1","12",1000
"00009333","07","03","04","1","2","2","1","2","1","2","01","1","1","1","18",641
"00009334","02","01","01","2","","","","","","","","","","","08",1261
"00009335","03","02","01","1","2","1","1","1","1","1","","1","1","1","04",211
"00009336","05","01","04","1","2","2","1","2","1","1","","1","1","2","03",290
"00009337","03","01","02","1","1","1","1","2","1","1","","1","1","1","09",3447
"00009338","05","02","03","1","2","2","1","1","1","1","","1","1","1","27",617
"00009339","03","02","01","1","2","1","1","2","1","1","","2","2","2","21",1257
"00009340","03","01","02","2","","","","","","","","","","","27",379
"00009341","04","03","01","1","2","2","2","2","1","1","","1","1","1","12",824
"00009342","02","01","01","2","","","","","","","","","","","11",1790
"00009343","01","01","00","2","","","","","","","","","","","27",1206
"00009344","03","00","03","1","2","2","1","2","1","2","01","1","1","1","10",1010
"00009345","06","03","03","1","2","2","2","2","2","2","01","2","1","2","21",2083
"00009346","05","04","01","2","","","","","","","","","","","27",166
"00009347","02","01","01","2","","","","","","","","","","","29",288
"00009348","02","01","01","2","","","","","","","","","","","16",1104
"00009349","07","03","04","1","2","1","1","2","1","2","01","1","2","2","07",1583
"00009350","06","02","04","1","2","2","1","2","1","1","","1","1","1","20",1005
"00009351","01","00","01","2","","","","","","","","","","","13",1938
"00009352","02","01","01","2","","","","","","","","","","","32",324
"00009353","04","02","02","1","2","2","1","2","1","1","","1","1","1","04",382
"00009354","05","03","02","1","2","1","1","2","1","1","","1","1","1","03",414
"00009355","04","01","03","1","2","1","1","2","1","1","","2","1","3","20",955
"00009356","04","02","02","2","","","","","","","","","","","31",393
"00009357","04","02","02","2","","","","","","","","","","","32",167
"00009358","04","01","03","1","2","2","1","2","1","1","","1","1","1","12",1006
"00009359","01","01","00","2","","","","","","","","","","","16",1938
"00009360","04","02","02","1","2","2","1","1","1","1","","1","2","2","09",2832
"00009361","03","02","01","1","2","2","2","1","1","1","","1","1","1","04",284
"00009362","06","02","04","1","2","2","1","2","1","2","01","1","1","1","31",792
"00009363","04","02","02","1","2","2","1","2","1","2","01","2","2","2","23",1220
"00009364","10","04","06","2","","","","","","","","","","","07",150
"00009365","05","02","03","1","2","2","1","2","1","1","","2","3","3","04",350
"00009366","02","01","01","1","2","2","1","2","1","1","","1","3","4","08",2434
"00009367","10","05","05","1","1","1","1","1","1","1","","1","1","2","29",213
"00009368","02","01","01","2","","","","","","","","","","","07",1217
"00009369","05","03","02","1","1","2","1","2","1","1","","2","1","2","05",1981
"00009370","04","01","03","1","2","2","1","2","1","2","06","1","1","3","27",730
"00009371","03","01","02","1","2","2","1","2","1","1","","3","3","1","05",1927
"00009372","05","04","01","1","1","1","1","1","1","1","","1","2","1","03",461
"00009373","03","01","02","2","","","","","","","","","","","03",175
"00009374","05","03","02","2","","","","","","","","","","","06",108
"00009375","04","02","02","1","2","1","2","2","1","2","01","1","1","2","13",884
"00009376","02","01","01","2","","","","","","","","","","","10",610
"00009377","03","02","01","2","","","","","","","","","","","19",1843
"00009378","02","01","01","2","","","","","","","","","","","24",800
